plot,id,img_name,Mach_Count,Spr_Count_Adj
6053-SC1154-14E,6053_P2,5. P2-WOF-Fr.jpg,445,384
6053-SC1154-14E,6053_P3,9. P3-WOF-Fr.jpg,406,440
6053-SC1154-14E,6053_P4,13. P4-WOF-Fr.jpg,553,869
6057-BTx642,6057_P1,1. P1-WOF-Fr.jpg,442,770
6057-BTx642,6057_P2,5. P2-WOF-Fr.jpg,526,845
6057-BTx642,6057_P3,9. P3-WOF-Fr.jpg,521,1526
6057-BTx642,6057_P4,13. P4-WOF-Fr.jpg,1055,1325
6061-R11018,6061_P1,1. P1-WOF-Fr.jpg,1220,1587
6061-R11018,6061_P2,5. P2-WOF-Fr.jpg,1441,1745
6061-R11018,6061_P3,9. P3-WOF-Fr.jpg,1480,1718
6061-R11018,6061_P4,13. P4-WOF-Fr.jpg,1016,1108
6065-RTx430BL,6065_P1,1. P1-WOF-Fr.jpg,1334,1611
6065-RTx430BL,6065_P2,5. P2-WOF-Fr.jpg,1208,1184
6065-RTx430BL,6065_P3,9. P3-WOF-Fr.jpg,1079,1180
6065-RTx430BL,6065_P4,13. P4-WOF-Fr.jpg,1117,1163
6069-R9188,6069_P1,1. P1-WOF-Fr.jpg,1180,1335
6069-R9188,6069_P2,5. P2-WOF-Fr.jpg,1514,2090
6069-R9188,6069_P3,9. P3-WOF-Fr.jpg,1431,1157
